1.486900083048348
1.402430060928478
1.3569694056036723
1.322203050331516
1.2850578021168928
1.2424436209939462
1.1999828157394192
1.160712648876025
1.122594855986467
1.0923833805333625
1.0626690489262287
1.0373202981101435
1.0125272226816602
0.9902138157883182
0.9624625438374929
0.9399905943519283
0.9198452640414019
0.8937557199712616
0.8685267610444548
0.8467151767970449
0.8217218455139884
0.7964193535004751
0.7794449409233273
0.7465377299605592
0.725598066578693
0.709216217446942
0.6815299355797126
0.6617628023110701
0.6405870091876712
0.6190270381134079
0.604937167155589
0.5820354926734339
0.5612302910172917
0.5490988146781263
0.5298480339910883
0.5109172462730996
0.4933996099985546
0.48179005469241853
0.46469675428465584
0.44964664314168595
0.4417854326727421
0.42716417725079625
0.41690329098679524
0.394748594358042
0.38838371308606195
0.381113701673228
0.3706998121658851
0.359077548357773
0.35141826994909214
0.3413427165927259
{'group_auc': 0.5944, 'mean_mrr': 0.2623, 'ndcg@5': 0.2838, 'ndcg@10': 0.3499}
{'group_auc': 0.6198, 'mean_mrr': 0.2779, 'ndcg@5': 0.3031, 'ndcg@10': 0.369}
{'group_auc': 0.6226, 'mean_mrr': 0.2868, 'ndcg@5': 0.3141, 'ndcg@10': 0.3769}
{'group_auc': 0.6319, 'mean_mrr': 0.2855, 'ndcg@5': 0.3146, 'ndcg@10': 0.3785}
{'group_auc': 0.6419, 'mean_mrr': 0.2952, 'ndcg@5': 0.326, 'ndcg@10': 0.3909}
{'group_auc': 0.6458, 'mean_mrr': 0.2953, 'ndcg@5': 0.3235, 'ndcg@10': 0.3882}
{'group_auc': 0.6476, 'mean_mrr': 0.2996, 'ndcg@5': 0.3293, 'ndcg@10': 0.3931}
{'group_auc': 0.6388, 'mean_mrr': 0.2913, 'ndcg@5': 0.3181, 'ndcg@10': 0.3841}
{'group_auc': 0.6376, 'mean_mrr': 0.291, 'ndcg@5': 0.3171, 'ndcg@10': 0.3826}
{'group_auc': 0.6407, 'mean_mrr': 0.2965, 'ndcg@5': 0.3247, 'ndcg@10': 0.3881}
{'group_auc': 0.6335, 'mean_mrr': 0.2898, 'ndcg@5': 0.3148, 'ndcg@10': 0.3799}
{'group_auc': 0.6384, 'mean_mrr': 0.2932, 'ndcg@5': 0.3191, 'ndcg@10': 0.3848}
{'group_auc': 0.6279, 'mean_mrr': 0.286, 'ndcg@5': 0.3103, 'ndcg@10': 0.3757}
{'group_auc': 0.6372, 'mean_mrr': 0.2928, 'ndcg@5': 0.3192, 'ndcg@10': 0.3851}
{'group_auc': 0.6358, 'mean_mrr': 0.2895, 'ndcg@5': 0.3145, 'ndcg@10': 0.3812}
{'group_auc': 0.626, 'mean_mrr': 0.2867, 'ndcg@5': 0.3094, 'ndcg@10': 0.3747}
{'group_auc': 0.6308, 'mean_mrr': 0.287, 'ndcg@5': 0.3116, 'ndcg@10': 0.3769}
{'group_auc': 0.63, 'mean_mrr': 0.2891, 'ndcg@5': 0.3141, 'ndcg@10': 0.379}
{'group_auc': 0.6258, 'mean_mrr': 0.2842, 'ndcg@5': 0.3064, 'ndcg@10': 0.3721}
{'group_auc': 0.6282, 'mean_mrr': 0.2854, 'ndcg@5': 0.3097, 'ndcg@10': 0.3755}
{'group_auc': 0.6307, 'mean_mrr': 0.2893, 'ndcg@5': 0.3141, 'ndcg@10': 0.3799}
{'group_auc': 0.6228, 'mean_mrr': 0.285, 'ndcg@5': 0.3095, 'ndcg@10': 0.3736}
{'group_auc': 0.6273, 'mean_mrr': 0.2884, 'ndcg@5': 0.3142, 'ndcg@10': 0.3784}
{'group_auc': 0.6288, 'mean_mrr': 0.2858, 'ndcg@5': 0.3108, 'ndcg@10': 0.3764}
{'group_auc': 0.6268, 'mean_mrr': 0.2858, 'ndcg@5': 0.3112, 'ndcg@10': 0.3756}
{'group_auc': 0.6216, 'mean_mrr': 0.2828, 'ndcg@5': 0.3071, 'ndcg@10': 0.3712}
{'group_auc': 0.6231, 'mean_mrr': 0.283, 'ndcg@5': 0.3071, 'ndcg@10': 0.371}
{'group_auc': 0.6252, 'mean_mrr': 0.2846, 'ndcg@5': 0.3086, 'ndcg@10': 0.3735}
{'group_auc': 0.6231, 'mean_mrr': 0.2843, 'ndcg@5': 0.3079, 'ndcg@10': 0.3719}
{'group_auc': 0.6266, 'mean_mrr': 0.286, 'ndcg@5': 0.3113, 'ndcg@10': 0.3754}
{'group_auc': 0.6293, 'mean_mrr': 0.2877, 'ndcg@5': 0.3133, 'ndcg@10': 0.3769}
{'group_auc': 0.6274, 'mean_mrr': 0.2866, 'ndcg@5': 0.3111, 'ndcg@10': 0.376}
{'group_auc': 0.6223, 'mean_mrr': 0.2871, 'ndcg@5': 0.3109, 'ndcg@10': 0.3736}
{'group_auc': 0.6238, 'mean_mrr': 0.2854, 'ndcg@5': 0.3089, 'ndcg@10': 0.373}
{'group_auc': 0.6192, 'mean_mrr': 0.2837, 'ndcg@5': 0.3071, 'ndcg@10': 0.3709}
{'group_auc': 0.6196, 'mean_mrr': 0.2832, 'ndcg@5': 0.3067, 'ndcg@10': 0.3703}
{'group_auc': 0.617, 'mean_mrr': 0.2815, 'ndcg@5': 0.3059, 'ndcg@10': 0.3684}
{'group_auc': 0.6186, 'mean_mrr': 0.2829, 'ndcg@5': 0.3058, 'ndcg@10': 0.3697}
{'group_auc': 0.6217, 'mean_mrr': 0.2865, 'ndcg@5': 0.3105, 'ndcg@10': 0.3727}
{'group_auc': 0.6139, 'mean_mrr': 0.2824, 'ndcg@5': 0.3062, 'ndcg@10': 0.3675}
{'group_auc': 0.6181, 'mean_mrr': 0.2837, 'ndcg@5': 0.3078, 'ndcg@10': 0.3698}
{'group_auc': 0.6167, 'mean_mrr': 0.2825, 'ndcg@5': 0.306, 'ndcg@10': 0.3687}
