1.5819470143669438
1.556165753697383
1.5375903590168962
1.5177529847204796
1.5002962344259188
1.4898450846610587
1.4756161933884875
1.4657435535725967
1.452383956527183
1.4487563103821615
1.442819525523739
1.4341094992217878
1.4301509841810054
1.4220265291672385
1.4165257029990026
1.4098148671961621
1.4058652451025189
1.402941464938731
1.3980514430209419
1.3944946464912666
1.3910534314907277
1.3865821468017816
1.3838775515227029
1.380579493212656
1.375433976369229
1.3719910842059506
1.3707860180247116
1.3660728396851274
1.3634468125484704
1.361959585498051
1.3586847601015923
1.3561261514712872
1.3528329480309074
1.3478626758134606
1.3481947325211203
1.3455997105022381
1.3435074161209892
1.3419166013022155
1.3375529703953428
1.3357998552023815
1.3339521813019424
1.3299146317645332
1.3284450238141785
1.3238445543452522
1.3261144709521235
1.3231457968552907
1.320843322391229
1.3188878756640805
1.3192360739242526
1.3164671872421743
{'group_auc': 0.5545, 'mean_mrr': 0.2321, 'ndcg@5': 0.2419, 'ndcg@10': 0.3135}
{'group_auc': 0.5546, 'mean_mrr': 0.2306, 'ndcg@5': 0.24, 'ndcg@10': 0.3137}
{'group_auc': 0.5542, 'mean_mrr': 0.23, 'ndcg@5': 0.2405, 'ndcg@10': 0.3127}
{'group_auc': 0.5541, 'mean_mrr': 0.2315, 'ndcg@5': 0.2419, 'ndcg@10': 0.3139}
{'group_auc': 0.5568, 'mean_mrr': 0.2324, 'ndcg@5': 0.2432, 'ndcg@10': 0.3154}
{'group_auc': 0.5619, 'mean_mrr': 0.2348, 'ndcg@5': 0.2466, 'ndcg@10': 0.3187}
{'group_auc': 0.5674, 'mean_mrr': 0.2377, 'ndcg@5': 0.2513, 'ndcg@10': 0.3218}
{'group_auc': 0.5705, 'mean_mrr': 0.2399, 'ndcg@5': 0.2542, 'ndcg@10': 0.3243}
{'group_auc': 0.5736, 'mean_mrr': 0.2417, 'ndcg@5': 0.256, 'ndcg@10': 0.3265}
{'group_auc': 0.5785, 'mean_mrr': 0.2438, 'ndcg@5': 0.2585, 'ndcg@10': 0.3298}
{'group_auc': 0.5818, 'mean_mrr': 0.2459, 'ndcg@5': 0.2622, 'ndcg@10': 0.3324}
{'group_auc': 0.5854, 'mean_mrr': 0.2474, 'ndcg@5': 0.2642, 'ndcg@10': 0.335}
{'group_auc': 0.5877, 'mean_mrr': 0.249, 'ndcg@5': 0.2666, 'ndcg@10': 0.336}
{'group_auc': 0.5897, 'mean_mrr': 0.2506, 'ndcg@5': 0.2683, 'ndcg@10': 0.3387}
{'group_auc': 0.5908, 'mean_mrr': 0.2514, 'ndcg@5': 0.2698, 'ndcg@10': 0.3396}
{'group_auc': 0.5915, 'mean_mrr': 0.2524, 'ndcg@5': 0.27, 'ndcg@10': 0.3404}
{'group_auc': 0.5934, 'mean_mrr': 0.2525, 'ndcg@5': 0.2707, 'ndcg@10': 0.342}
{'group_auc': 0.596, 'mean_mrr': 0.2544, 'ndcg@5': 0.273, 'ndcg@10': 0.3432}
{'group_auc': 0.5969, 'mean_mrr': 0.2555, 'ndcg@5': 0.2743, 'ndcg@10': 0.3445}
{'group_auc': 0.5987, 'mean_mrr': 0.2571, 'ndcg@5': 0.2753, 'ndcg@10': 0.3468}
{'group_auc': 0.5972, 'mean_mrr': 0.2566, 'ndcg@5': 0.2745, 'ndcg@10': 0.3467}
{'group_auc': 0.6008, 'mean_mrr': 0.2589, 'ndcg@5': 0.2779, 'ndcg@10': 0.3495}
